,Unnamed: 0,Day,Month,Year,Latitude,Longitude,X..km2,Total.Wieght..g..km.2,Source,Mesh.Size,Notes,CutOff,TopLim,Microplastics...km.2,Macroplastics....km.2,Microplastics.Weight..g...km.2,Macroplastics.Weight..g...km.2,Ship,CruiseNo,CruiseNoCode,StationNo,TimeLocal,TimeLocalFormatted,MonthUTC,DayUTC,YearUTC,TowAreaM2,CountPlasticFragments,CountPlasticPellets,CountTotalPlastics,FragmentDensityNoSqKm,PelletDensityNoSqKm,u10Mps,v10Mps,count_total
198,199,28.0,1.0,2008,32.2366,-165.914,44081.58,1608.29,C. Moore,335.0,Corrected,4750.0,,42039.19,2042.39,208.57,1399.72,,,,,,,,,,,,,,,,,,44081.58
199,200,24.0,11.0,2007,19.0051,-155.5729,51400.84,162.79,C. Moore,335.0,Corrected,4750.0,,49417.53,1983.31,131.39,31.4,,,,,,,,,,,,,,,,,,51400.84
200,201,3.0,2.0,2008,33.7558,-162.7216,49296.54,1804.24,C. Moore,335.0,Corrected,4750.0,,44863.4,4433.14,414.36,1389.88,,,,,,,,,,,,,,,,,,49296.54
201,202,9.0,7.0,2009,35.0628,-171.635,85524.8,760.39,C. Moore,335.0,Corrected,4750.0,,72791.96,12732.84,148.88,611.51,,,,,,,,,,,,,,,,,,85524.8
202,203,28.0,9.0,2009,35.6865,-139.2023,43095.14,1971.81,C. Moore,335.0,Corrected,4750.0,,39715.13,3380.01,336.24,1635.57,,,,,,,,,,,,,,,,,,43095.14
203,204,17.0,9.0,2009,30.8125,-158.6852,86983.63,284.09,C. Moore,335.0,Corrected,4750.0,,86278.36,705.27,222.4,61.69,,,,,,,,,,,,,,,,,,86983.63
204,205,9.0,7.0,2009,35.002,-171.7438,74279.77,563.55,C. Moore,335.0,Corrected,4750.0,,68565.94,5713.83,94.54,469.01,,,,,,,,,,,,,,,,,,74279.77
205,206,11.0,9.0,2009,26.6528,-160.3025,259596.52,187.33,C. Moore,335.0,Corrected,4750.0,,250936.74,8659.78,100.87,86.46,,,,,,,,,,,,,,,,,,259596.52
206,207,29.0,1.0,2012,33.0118,-167.9233,79193.67,1222.3,C. Moore,335.0,Corrected,4750.0,,75673.95,3519.72,207.98,1014.32,,,,,,,,,,,,,,,,,,79193.67
207,208,15.0,7.0,2009,35.095,-179.9312,77136.68,70.94,C. Moore,335.0,Corrected,4750.0,,72851.31,4285.37,32.47,38.47,,,,,,,,,,,,,,,,,,77136.68
208,209,3.0,7.0,2009,29.771,-162.6273,93905.53,593.95,C. Moore,335.0,Corrected,4750.0,,82689.04,11216.49,244.28,349.67,,,,,,,,,,,,,,,,,,93905.53
209,210,25.0,9.0,2009,34.9327,-141.896,59117.22,1258.43,C. Moore,335.0,Corrected,4750.0,,55019.99,4097.23,380.69,877.74,,,,,,,,,,,,,,,,,,59117.22
210,211,18.0,9.0,2009,32.5517,-159.9608,82865.64,5955.25,C. Moore,335.0,Corrected,4750.0,,78192.09,4673.55,2210.86,3744.39,,,,,,,,,,,,,,,,,,82865.64
